Instance,Terminal,Layer,X location,Y location,Voltage
hold94,VPWR,li1,51.9800,62.5600,1.799803
hold93,VPWR,li1,50.6000,13.6000,1.799790
hold92,VPWR,li1,15.6400,57.1200,1.799854
hold91,VPWR,li1,34.9600,73.4400,1.799851
hold90,VPWR,li1,10.5800,57.1200,1.799853
hold89,VPWR,li1,29.4400,24.4800,1.799755
hold88,VPWR,li1,28.9800,46.2400,1.799800
hold87,VPWR,li1,25.3000,19.0400,1.799863
hold86,VPWR,li1,65.3200,73.4400,1.799774
hold85,VPWR,li1,16.1000,35.3600,1.799883
hold84,VPWR,li1,29.4400,51.6800,1.799867
hold83,VPWR,li1,36.3400,24.4800,1.799699
hold82,VPWR,li1,63.0200,13.6000,1.799780
hold81,VPWR,li1,65.3200,40.8000,1.799614
clkload6,VPWR,li1,55.2000,73.4400,1.799779
clkload5,VPWR,li1,20.2400,68.0000,1.799891
clkload4,VPWR,li1,20.2400,46.2400,1.799845
clkload3,VPWR,li1,46.4600,24.4800,1.799637
clkload2,VPWR,li1,55.2000,19.0400,1.799715
clkload1,VPWR,li1,19.7800,29.9200,1.799887
clkload0,VPWR,li1,29.9000,35.3600,1.799813
clkbuf_3_7__f_clk,VPWR,li1,49.2200,73.4400,1.799787
clkbuf_3_6__f_clk,VPWR,li1,56.1200,57.1200,1.799594
clkbuf_3_5__f_clk,VPWR,li1,22.5400,68.0000,1.799870
clkbuf_3_4__f_clk,VPWR,li1,16.5600,46.2400,1.799836
clkbuf_3_3__f_clk,VPWR,li1,51.5200,35.3600,1.799651
clkbuf_3_2__f_clk,VPWR,li1,52.4400,24.4800,1.799605
clkbuf_3_1__f_clk,VPWR,li1,23.4600,40.8000,1.799824
clkbuf_3_0__f_clk,VPWR,li1,18.8600,24.4800,1.799826
clkbuf_0_clk,VPWR,li1,37.2600,40.8000,1.799664
fanout80,VPWR,li1,65.3200,24.4800,1.799593
fanout79,VPWR,li1,65.3200,46.2400,1.799659
load_slew78,VPWR,li1,65.3200,19.0400,1.799706
fanout77,VPWR,li1,61.6400,40.8000,1.799615
load_slew76,VPWR,li1,33.1200,46.2400,1.799770
fanout75,VPWR,li1,28.9800,40.8000,1.799739
load_slew74,VPWR,li1,33.5800,29.9200,1.799799
fanout73,VPWR,li1,38.6400,19.0400,1.799776
fanout72,VPWR,li1,61.6400,46.2400,1.799659
fanout71,VPWR,li1,64.4000,51.6800,1.799749
fanout70,VPWR,li1,37.2600,35.3600,1.799741
fanout69,VPWR,li1,34.5000,24.4800,1.799713
output68,VPWR,li1,65.3200,35.3600,1.799626
output67,VPWR,li1,60.2600,51.6800,1.799754
output66,VPWR,li1,62.5600,57.1200,1.799586
output65,VPWR,li1,51.5200,24.4800,1.799605
output64,VPWR,li1,61.6400,29.9200,1.799675
output63,VPWR,li1,20.7000,13.6000,1.799910
output62,VPWR,li1,8.7400,73.4400,1.799913
output61,VPWR,li1,20.7000,51.6800,1.799914
output60,VPWR,li1,12.8800,13.6000,1.799900
output59,VPWR,li1,29.9000,40.8000,1.799739
output58,VPWR,li1,42.3200,19.0400,1.799757
output57,VPWR,li1,28.0600,57.1200,1.799790
output56,VPWR,li1,31.7400,57.1200,1.799741
output55,VPWR,li1,38.6400,13.6000,1.799827
output54,VPWR,li1,63.0200,51.6800,1.799750
output53,VPWR,li1,35.4200,57.1200,1.799709
output52,VPWR,li1,25.3000,24.4800,1.799793
output51,VPWR,li1,33.5800,35.3600,1.799767
output50,VPWR,li1,34.5000,19.0400,1.799797
output49,VPWR,li1,12.4200,24.4800,1.799813
output48,VPWR,li1,29.4400,57.1200,1.799760
output47,VPWR,li1,55.2000,13.6000,1.799783
output46,VPWR,li1,19.7800,40.8000,1.799815
output45,VPWR,li1,20.7000,57.1200,1.799859
output44,VPWR,li1,20.2400,57.1200,1.799859
output43,VPWR,li1,33.5800,40.8000,1.799689
