Instance,Terminal,Layer,X location,Y location,Voltage
hold94,VGND,li1,51.9800,59.8400,0.000197
hold93,VGND,li1,50.6000,10.8800,0.000122
hold92,VGND,li1,15.6400,59.8400,0.000093
hold91,VGND,li1,34.9600,70.7200,0.000182
hold90,VGND,li1,10.5800,54.4000,0.000140
hold89,VGND,li1,29.4400,27.2000,0.000156
hold88,VGND,li1,28.9800,43.5200,0.000207
hold87,VGND,li1,25.3000,21.7600,0.000128
hold86,VGND,li1,65.3200,70.7200,0.000270
hold85,VGND,li1,16.1000,32.6400,0.000145
hold84,VGND,li1,29.4400,54.4000,0.000165
hold83,VGND,li1,36.3400,21.7600,0.000235
hold82,VGND,li1,63.0200,10.8800,0.000131
hold81,VGND,li1,65.3200,43.5200,0.000342
clkload6,VGND,li1,55.2000,70.7200,0.000264
clkload5,VGND,li1,20.2400,65.2800,0.000110
clkload4,VGND,li1,20.2400,43.5200,0.000154
clkload3,VGND,li1,46.4600,21.7600,0.000311
clkload2,VGND,li1,55.2000,21.7600,0.000353
clkload1,VGND,li1,19.7800,32.6400,0.000142
clkload0,VGND,li1,29.9000,38.0800,0.000160
clkbuf_3_7__f_clk,VGND,li1,49.2200,70.7200,0.000254
clkbuf_3_6__f_clk,VGND,li1,56.1200,54.4000,0.000316
clkbuf_3_5__f_clk,VGND,li1,22.5400,70.7200,0.000145
clkbuf_3_4__f_clk,VGND,li1,16.5600,48.9600,0.000179
clkbuf_3_3__f_clk,VGND,li1,51.5200,32.6400,0.000377
clkbuf_3_2__f_clk,VGND,li1,52.4400,21.7600,0.000344
clkbuf_3_1__f_clk,VGND,li1,23.4600,38.0800,0.000145
clkbuf_3_0__f_clk,VGND,li1,18.8600,27.2000,0.000171
clkbuf_0_clk,VGND,li1,37.2600,43.5200,0.000294
fanout80,VGND,li1,65.3200,27.2000,0.000261
fanout79,VGND,li1,65.3200,43.5200,0.000342
load_slew78,VGND,li1,65.3200,16.3200,0.000179
fanout77,VGND,li1,61.6400,38.0800,0.000268
load_slew76,VGND,li1,33.1200,48.9600,0.000194
fanout75,VGND,li1,28.9800,43.5200,0.000207
load_slew74,VGND,li1,33.5800,32.6400,0.000229
fanout73,VGND,li1,38.6400,21.7600,0.000253
fanout72,VGND,li1,61.6400,43.5200,0.000340
